Acceptance and commitment therapy (ACT)|Θεραπεία Αποδοχής και Δέσμευσης (ACT)|Terapia dell'accettazione e dell'impegno (ACT)|Terapia de aceitação e compromisso (ACT)
Analytical psychotherapy|Αναλυτική Ψυχοθεραπεία|Psicoterapia analitica|Psicoterapia analítica
Attachment-based psychotherapy|Ψυχοθεραπεία βασισμένη στην θεωρία της προσκόλλησης - ψυχοθεραπεία δεσμού|Psicoterapia e teoria dell'attaccamento|Psicoterapia baseada na vinculação
Behaviour therapy|Συμπεριφορική Θεραπεία|Terapia del comportamento|Terapia comportamental
Bioenergetic analysis|Βιοενεργειακή ανάλυση|Analisi bioenergetica|Análise bioenergética 
Classical Adlerian psychotherapy|Κλασική Αντλεριανή ψυχοθεραπεία|Psicoterapia Adleriana|Psicoterapia adleriana clássica 
Child psychotherapy|Παιδική Ψυχοθεραπεία|Psicoterapia infantile|Psicoterapia infantil
Client-centered psychotherapy|Προσωποκεντρική (ή Πελατοκεντρική) θεραπεία|Psicoterapia centrata sul cliente|Psicoterapia centrada no cliente 
Cognitive analytic therapy|Γνωστική Αναλυτική Θεραπέια|Terapia cognitivo-analitica|Terapia analítica cognitiva
Cognitive behaviour therapy (CBT)|Γνωστική συμπεριφορική θεραπεία (CBT)|Psicoterapia cognitivo-comportamentale|Terapia cognitiva comportamental (TCC)
Dialectical behaviour therapy (DBT)|Διαλεκτική συμπεριφορική θεραπεία (DBT)|Terapia comportamentale dialettica|Terapia comportamental dialética (TCD)
Emotionally focused therapy|συναισθηματοκεντρική θεραπεία|Terapia focalizzata sulle emozioni|Terapia focada nas emoções
Freudian psychotherapy|Φροϋδική ψυχοθεραπεία|Psicoterapia Freudiana|Psicoterapia freudiana
Functional analytic psychotherapy (FAP)|Λειτουργική αναλυτική ψυχοθεραπεία|Psicoterapia funzionale analitica|Psicoterapia analítica funcional (FAP)
Gestalt therapy|Μέθοδος Gestalt|Terapia della Gestalt|Terapia Gestalt
Group analysis|Ανάλυση ομάδων|Gruppoanalisi|Grupanálise
Interpersonal psychotherapy|Διαπροσωπική θεραπεία|Psicoterapia interpersonale|Psicoterapia interpessoal
Jungian psychotherapy|Ψυχοθεραπεία κατά Γιούνγκ|Psicoterapia Junghiana|Psicoterapia Junguiana
Mindfulness-based cognitive therapy|Γνωσιακή Θεραπεία βασισμένη στην Ενσυνειδητότητα|Terapia cognitiva basata su Mindfulness|Terapia cognitiva baseada em mindfulness
Psychoanalysis|Ψυχανάλυση|Psicoanalisi|Psicanálise
Psychodynamic psychotherapy|Ψυχοδυναμική ψυχοθεραπεία|Psicoterapia psicodinamica|Psicoterapia psicodinâmica
Schema Therapy|Θεραπεία Σχημάτων |Schema Therapy|Terapia focada nos esquemas
Sensorimotor psychotherapy|Σωματοαισθητική Ψυχοθεραπεία|Psicoterapia sensomotoria|Psicoterapia sensório-motora
Systemic therapy|Συστημική θεραπεία|Terapia sistemico relazionale |Terapia sistémica
Transactional analysis|Συναλλακτική ανάλυση|Analisi transazionale|Análise transacional
Other non specified speciality|Άλλη ειδικότητα|Altro|Outra especialidade não especificada