Afghanistan|Αφγανιστάν|italian nation|Afeganistão 
Albania|Αλβανία|italian nation|Albânia
Algeria|Αλγερία|italian nation|Argélia
American Samoa|Αμερικανική Σαμόα|italian nation|Samoa Americana
Andorra|Ανδόρες|italian nation|Andorra
Angola|Αγκόλα|italian nation|Angola
Anguilla|Ανγκουίλα|italian nation|Anguilla
Antarctica|Ανταρκτική|italian nation|Antárctida
Antigua and Barbuda|Αντίγκουα και Μπαρμπούντα|italian nation|Antígua e Barbuda
Argentina|Αργεντινή|italian nation|Argentina
Armenia|Αρμενία|italian nation|Arménia
Aruba|Αρούμπα|italian nation|Aruba
Australia|Αυστραλία|italian nation|Austrália
Austria|Αυστρία|italian nation|Áustria
Azerbaijan|Αζερμπαϊτζάν|italian nation|Azerbeijão
Bahamas|Μπαχάμες|italian nation|Bahamas
Bahrain|Μπαχρέιν|italian nation|Bahrain
Bangladesh|Μπαγκλαντές|italian nation|Bangladesh
Barbados|Μπαρμπέιντος|italian nation|Barbados
Belarus|Μπελαρούς|italian nation|Bielorrússia
Belgium|Βέλγιο|italian nation|Bélgica
Belize|Μπελίζ|italian nation|Belize
Benin|Μπένιν|italian nation|Benim
Bermuda|Βερμούδες|italian nation|Bermudas
Bhutan|Μπουτάν|italian nation|Butão
Bolivia|Βολιβία|italian nation|Bolívia
Bosnia and Herzegovina|Βοσνία και Ερζεγοβίνη|italian nation|Bósnia-Herzegovina
Botswana|Μποτσβάνα|italian nation|Botswana
Brazil|Βραζιλία|italian nation|Brasil
Brunei Darussalam|Μπρουνέι Νταρουσαλάμ|italian nation|Brunei Darussalã
Bulgaria|Βουλγαρία|italian nation|Bulgária
Burkina Faso|Μπουρκίνα Φάσο|italian nation|Burkina Faso
Burundi|Μπουρουντί|italian nation|Burundi
Cambodia|Καμποδία|italian nation|Cambodja
Cameroon|Καμερούν|italian nation|Camarões
Canada|Καναδάς|italian nation|Canadá
Cape Verde|Πράσινο Ακρωτήρι|italian nation|Cabo Verde
Cayman Islands|Νησιά Καϊμάν|italian nation|Ilhas Caimão
Central African Republic|Κεντρική Αφρικανική Δημοκρατία|italian nation|República Centro-Africana
Chad|Ελβετία|italian nation|Chade
Chile|Χιλή|italian nation|Chile
China|Κίνα|italian nation|China
Christmas Island|Νησί Χριστουγέννων|italian nation|Ilha de Natal
Cocos (Keeling) Islands|Νησιά Κόκο|italian nation| Ilhas Cocos (Keeling)
Colombia|Κολομβία|italian nation|Colômbia
Comoros|Κομόρος|italian nation|Comores
Democratic Republic of the Congo (Kinshasa)|Δημοκρατία του Κονγκό|italian nation|República Democrática do Congo (Kinshasa)
Congo, Republic of (Brazzaville)|Κονγκό|italian nation|República do Congo (Brazaville)
Cook Islands|Νησιά Κουκ|italian nation|Ilhas Cook
Costa Rica|Κόστα Ρίκα|italian nation|Costa Rica
Ivory Coast|Κοτ ντ' Ιβουάρ|italian nation|Costa do Marfim
Croatia|Κροατία|italian nation|Croácia
Cuba|Κούβα|italian nation|Cuba
Cyprus|Κύπρος|italian nation|Chipre
Czech Republic|Τσέχικη Δημοκρατία|italian nation|República Checa
Denmark|Δανία|italian nation|Dinamarca
Djibouti|Ντιμπουτί|italian nation|Djibouti
Dominica|Δομινικανή Δημοκρατία|italian nation|Dominica
Dominican Republic|Άγιος Δομίνικος|italian nation|República Dominicana
East Timor (Timor-Leste)|Ανατολικό Τιμόρ|italian nation|Timor-Leste
Ecuador|Εκουαδόρ|italian nation|Equador
Egypt|Αίγυπτος|italian nation|Egipto
El Salvador|Ελ Σαλβαντόρ|italian nation|El Salvador
Equatorial Guinea|Ισημερινή Γουινέα|italian nation|Guiné Equatorial
Eritrea|Ερυθραία|italian nation|Eritreia
Estonia|Εσθονία|italian nation|Estónia
Ethiopia|Αιθιοπία|italian nation|Etiópia
Falkland Islands|Νησιά Φώλκλαντ|italian nation|Ilhas Malvinas
Faroe Islands|Νησιά Φαρόε|italian nation|Ilhas Faroé
Fiji|Φίτζι|italian nation|Fiji
Finland|Φινλανδία|italian nation|Finlândia
France|Γαλλία|italian nation|França
French Guiana|Γαλλική Γουινέα|italian nation|Guiana Francesa
French Polynesia|Γαλλική Πολυνησία|italian nation|Polinésia Francesa
French Southern Territories|Γαλλικές Νότιες Περιοχές|italian nation|Territórios Austrais Franceses
Gabon|Γκαμπόν|italian nation|Gabão
Gambia|Γκάμπια|italian nation|Gâmbia
Georgia|Γεωργία|italian nation|Geórgia
Germany|Γερμανία|italian nation|Alemanha
Ghana|Γκάνα|italian nation|Gana
Gibraltar|Γιβραλτάρ|italian nation|Gibraltar
Great Britain|Ηνωμένο Βασίλειο|italian nation|Grã-Bretanha
Greece|Ελλάδα|italian nation|Grécia
Greenland|Γροιλανδία|italian nation|Gronelândia
Grenada|Γρενάδα|italian nation|Grenada
Guadeloupe|Γουαδελούπη|italian nation|Guadalupe
Guam|Γκουάμ|italian nation|Guam
Guatemala|Γουατεμάλα|italian nation|Guatemala
Guinea|Γουινέα|italian nation|Guiné
Guinea-Bissau|Γουινέα - Μπισό|italian nation|Guiné-Bissau
Guyana|Γουιάνα|italian nation|Guiana
Haiti|Αϊτή|italian nation|Haiti
Honduras|Ονδούρες|italian nation|Honduras
HongKong|Χονγκ Κονγκ|italian nation|Hong Kong
Hungary|Ουγγαρία|italian nation|Hungria
Iceland|Ισλανδία|italian nation|Islândia
India|Ινδία|italian nation|Índia
Indonesia|Ινδονησία|italian nation|Indonésia
Iran (Islamic Republic of)|Ιράν|italian nation|Irão (República Islâmica)
Iraq|Ιράκ|italian nation|Iraque
Ireland|Ιρλανδία|italian nation|Irlanda
Israel|Ισραήλ|italian nation|Israel
Italy|Ιταλία|italian nation|Itália
Jamaica|Τζαμάικα|italian nation|Jamaica
Japan|Ιαπωνία|italian nation|Japão
Jordan|Ιορδανία|italian nation|Jordânia
Kazakhstan|Καζακστάν|italian nation|Cazaquistão
Kenya|Κένια|italian nation|Quénia
Kiribati|Κιριμπάτι|italian nation|Kiribati
Korea, Democratic People's Rep. (North Korea)|Βόρεια Κορέα (Λαϊκή Δημοκρατία της Κορέας)|italian nation|República Popular Democrática da Coreia (Coreia do Norte)
Korea, Republic of (South Korea)|Νότια Κορέα (Δημοκρατία της Κορέας)|italian nation|República da Coreia (Coreia do Sul)
Kosovo|Κόσοβο|italian nation|Kosovo
Southern Europe|Νότια Ευρώπη|italian nation|Europa Mediterrânea
Kuwait|Κουβέιτ|italian nation|Kuwait
Kyrgyzstan|Κιργκιστάν|italian nation|Kyrgistão
Lao, People's Democratic Republic|Λαϊκή Δημοκρατία του Λάο|italian nation|República Democrática Popular do Laos
Latvia|Λετονία|italian nation|Letónia
Lebanon|Λίβανος|italian nation|Líbano
Lesotho|Λέσοθο|italian nation|Lesoto
Liberia|Λιβηρία|italian nation|Libéria
Libya|Λιβύη|italian nation|Líbia
Liechtenstein|Λιχτενστάιν|italian nation|Liechtenstein
Lithuania|Λιθουανία|italian nation|Lituânia
Luxembourg|Λουξεμβούργο|italian nation|Luxemburgo
Macau|Μακάου|italian nation|Macau
Macedonia, Rep. of |ΠΓ?Μ|italian nation|República da Macedónia
Madagascar|Μαδαγασκάρη|italian nation|Madagáscar
Malawi|Μαλάουι|italian nation|Malawi
Malaysia|Μαλαισία|italian nation|Malásia
Maldives|Μαλδίβες|italian nation|Maldivas
Mali|Μαλί|italian nation|Mali
Malta|Μάλτα|italian nation|Malta
Marshall Islands|Νησιά Μάρσαλ|italian nation|Ilhas Marshall
Martinique|Μαρτινίκη|italian nation|Martinica
Mauritania|Μαυριτανία|italian nation|Mauritânia
Mauritius|Μαυρίτιος|italian nation|Maurícia
Mayotte|Μαγιότ|italian nation|Maiote
Mexico|Μεξικό|italian nation|México
Micronesia, Federal States of|Μικρονησία, Ομόσπονδες Πολιτείες της|italian nation|Estados Federados da Micronésia
Moldova, Republic of|Μολδαβία|italian nation|República Moldova
Monaco|Μόνακο|italian nation|Mónaco
Mongolia|Μογγολία|italian nation|Mongólia
Montenegro|Μαυροβούνιο|italian nation|Montenegro
Montserrat|Μοντσεράτ|italian nation|Montserrat
Morocco|Μαρόκο|italian nation|Marrocos
Mozambique|Μοζαμβίκη|italian nation|Moçambique
Myanmar, Burma|Μυανμάρ, Μπουρμα|italian nation|Myanmar (Antiga Birmânia)
Namibia|Ναμίμπια|italian nation|Namíbia
Nauru|Ναουρού|italian nation|Nauru
Nepal|Νεπάλ|italian nation|Nepal
Netherlands|Ολλανδία|italian nation|Holanda
Netherlands Antilles|Ολλανδικές Αντίλλες|italian nation|Antilhas Holandesas
New Caledonia|Νέα Καληδονία|italian nation|Nova Caledónia
New Zealand|Νέα Ζηλανδία|italian nation|Nova Zelândia
Nicaragua|Νικαράγουα|italian nation|Nicarágua
Niger|Νίγερ|italian nation|Níger
Nigeria|Νιγηρία|italian nation|Nigéria
Niue|Νιούε|italian nation|Niue
Northern Mariana Islands|Βόρεια Νησιά Μαριάνα|italian nation|Ilhas Marianas do Norte
Norway|Νορβηγία|italian nation|Noruega
Oman|Ομάν|italian nation|Omã
Pakistan|Πακιστάν|italian nation|Paquistão
Palau|Παλάου|italian nation|Palau
Palestinian territories|Παλαιστίνη|italian nation|Palestina
Panama|Παναμάς|italian nation|Panamá
Papua New Guinea|Παπούα Νέας Γουινέας|italian nation|Papua-Nova Guiné
Paraguay|Παραγουάη|italian nation|Paraguai
Peru|Περού|italian nation|Perú
Philippines|Φιλιππίνες|italian nation|Filipinas
Pitcairn Island|Νήσος Πιτκαίρν|italian nation|Ilha Pitcairn
Poland|Πολωνία|italian nation|Polónia
Portugal|Πορτογαλία|italian nation|Portugal
Puerto Rico|Πουέρτο Ρίκο|italian nation|Porto Rico
Qatar|Κατάρ|italian nation|Qatar
Reunion Island|Ρεγιούνιον|italian nation|Ilha da Reunião
Romania|Ρουμανία|italian nation|Roménia
Russian Federation|Ρωσία|italian nation|Federação Russa
Rwanda|Ρουάντα|italian nation|Ruanda
Saint Kitts and Nevis|Αγιος Χριστόφορος και Νέβις|italian nation|São Cristóvão e Nevis
Saint Lucia|Αγία Λουκία|italian nation|Santa Lúcia
Saint Vincent and the Grenadines|Αγιος Βικέντιος και Γρεναδίνες|italian nation|São Vicente e Granadinas
Samoa|Σαμόα|italian nation|Samoa
San Marino|Σαν Μαρίνο|italian nation|São Marino
Sao Tome and Principe|Αγιος Θωμάς και Πρίγκηπας|italian nation|São Tomé e Príncipe
Saudi Arabia|Σαουδική Αραβία|italian nation|Arábia Saudita
Senegal|Σενεγάλη|italian nation|Senegal
Serbia|Σερβία|italian nation|Sérvia
Seychelles|Σεϊχέλες|italian nation|Seychelles
Sierra Leone|Σιέρρα Λεόνε|italian nation|Serra Leoa
Singapore|Σιγκαπούρη|italian nation|Singapura
Slovakia (Slovak Republic)|Σλοβακία|italian nation|Eslováquia (República Eslovaca)
Slovenia|Σλοβενία|italian nation|Eslovénia
Solomon Islands|Νησιά του Σολομόντα|italian nation|Ilhas Salomão
Somalia|Σομαλία|italian nation|Somália
South Africa|Νότια Αφρική|italian nation|África do Sul
South Sudan|Νότιο Σουδάν|italian nation|Sudão do Sul
Spain|Ισπανία|italian nation|Espanha
Sri Lanka|Σρι Λάνκα|italian nation|Sri Lanka
Sudan|Σουδάν|italian nation|Sudão
Suriname|Σουρινάμε|italian nation|Suriname
Swaziland|Σουαζιλάνδη|italian nation|Suazilândia
Sweden|Σουηδία|italian nation|Suécia
Switzerland|Ελβετία|italian nation|Suíça
Syria, Syrian Arab Republic|Συρία, Συριακά Αραβικά Εμιράτα|italian nation|Síria, República Árabe da Síria
Taiwan (Republic of China)|Ταϊβάν|italian nation|Taiwan (República da China)
Tajikistan|Ταζικιστάν|italian nation|Tajiquistão
Tanzania|Τανζανία|italian nation|Tanzânia
Thailand|Ταϊλάνδη|italian nation|Tailândia
Tibet|Θιβέτ|italian nation|Tibete
Timor-Leste (East Timor)|Τιμορ-Λέστε|italian nation|Timor-Leste
Togo|Τόγκο|italian nation|Togo
Tokelau|Τοκελάου|italian nation|Tokelau
Tonga|Τόνγκα|italian nation|Tonga
Trinidad andTobago|Τρινιδάδ και Τοβάχο|italian nation|Trindade e Tobago
Tunisia|Τυνησία|italian nation|Tunísia
Turkey|Τουρκία|italian nation|Turquia
Turkmenistan|Τουρκμενιστάν|italian nation|Turquemenistão
Turks and Caicos Islands|Τούρκικα και Κάικα Νησιά|italian nation|Ilhas Turcas e Caicos
Tuvalu|Τουβαλού|italian nation|Tuvalu
Uganda|Ταζικιστάν|italian nation|Uganda
Ukraine|Ουκρανία|italian nation|Ucrânia
UnitedArab Emirates|Timor-Leste|italian nation|Emirados Árabes Unidos
United Kingdom|Μεγάλη Βρετανία|italian nation|Reino Unido
United States|Η.Π.Α|italian nation|Estados Unidos
Uruguay|Ουρουγουάη|italian nation|Uruguai
Uzbekistan|Ουζμπεκιστάν|italian nation|Uzbequistão
Vanuatu|Βανουάτου|italian nation|Vanuatu
Vatican City State (Holy See)|Κράτος του Βατικανό|italian nation|Estado da Cidade do Vaticano (Santa Sé)
Venezuela|Βενεζουέλα|italian nation|Venezuela
Vietnam|Βιετνάμ|italian nation|Vietname
Virgin Islands (British)|Παρθένοι Νήσοι (Βρετανία)|italian nation|Ilhas Virgens (Reino Unido)
Virgin Islands (U.S.)|Παρθένοι Νήσοι (US)|italian nation|Ilhas Virgens (EUA)
Wallis and Futuna Islands|Ουαλίς και Νησιά Φουτούνα|italian nation|Ilhas Wallis e Futuna
Western Sahara|Δυτική Σαχάρα|italian nation|Saara Ocidental
Yemen|Ιεμένη|italian nation|Iémen
Zambia|Ζάμπια|italian nation|Zâmbia
Zimbabwe|Ζιμπάμπουε|italian nation|Zimbabwe